project,pkg_name,syscall,path,type
bazel-bsp,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/types/struct_statx_timestamp.h,transitive
bazel-bsp,git,read,/usr/share/git-core/templates/hooks/applypatch-msg.sample,top
bazel-bsp,linux-libc-dev,openat,/usr/include/linux/types.h,transitive
bazel-bsp,libstdc++-10-dev,read,/usr/include/x86_64-linux-gnu/c++/10/bits/basic_file.h,transitive
bazel-bsp,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/unistd.h,transitive
bazel-bsp,libstdc++-10-dev,read,/usr/include/c++/10/bits/stl_multimap.h,transitive
bazel-bsp,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libjli.so,top
bazel-bsp,libstdc++-10-dev,read,/usr/include/c++/10/functional,transitive
bazel-bsp,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/types/struct_timespec.h,transitive
bazel-bsp,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/sigstack.h,transitive
bazel-bsp,ca-certificates,read,/usr/share/ca-certificates/mozilla/GlobalSign_Root_CA_-_R3.crt,top
bazel-bsp,libstdc++-10-dev,read,/usr/include/c++/10/cstdio,transitive
bazel-bsp,libstdc++-10-dev,openat,/usr/include/c++/10/string,transitive
bazel-bsp,ca-certificates,openat,/usr/share/ca-certificates/mozilla/SecureTrust_CA.crt,top
bazel-bsp,libstdc++-10-dev,read,/usr/include/c++/10/bits/cxxabi_forced.h,transitive
bazel-bsp,ca-certificates,openat,/usr/share/ca-certificates/mozilla/T-TeleSec_GlobalRoot_Class_2.crt,top
bazel-bsp,linux-libc-dev,openat,/usr/include/asm-generic/types.h,transitive
bazel-bsp,libstdc++-10-dev,openat,/usr/include/c++/10/iterator,transitive
bazel-bsp,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/local_lim.h,transitive
bazel-bsp,libstdc++-10-dev,read,/usr/include/c++/10/ios,transitive
bazel-bsp,openjdk-17-jre-headless,read,/etc/java-17-openjdk/security/java.security,top
bazel-bsp,libstdc++-10-dev,read,/usr/include/c++/10/bits/stl_algo.h,transitive
bazel-bsp,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libattach.so,top
bazel-bsp,libldap-2.4-2,openat,/usr/lib/x86_64-linux-gnu/libldap_r-2.4.so.2.11.5,transitive
bazel-bsp,libstdc++-10-dev,read,/usr/include/c++/10/bits/basic_ios.h,transitive
bazel-bsp,libstdc++-10-dev,openat,/usr/include/c++/10/bits/std_mutex.h,transitive
bazel-bsp,libgcc-s1,read,/usr/lib/x86_64-linux-gnu/libgcc_s.so.1,transitive
bazel-bsp,ca-certificates,read,/usr/share/ca-certificates/mozilla/Baltimore_CyberTrust_Root.crt,top
bazel-bsp,libmpc3,read,/usr/lib/x86_64-linux-gnu/libmpc.so.3.2.0,transitive
bazel-bsp,ca-certificates,read,/usr/share/ca-certificates/mozilla/Buypass_Class_3_Root_CA.crt,top
bazel-bsp,libc6-dev,openat,/usr/include/string.h,transitive
bazel-bsp,libstdc++-10-dev,openat,/usr/include/c++/10/queue,transitive
bazel-bsp,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/fcntl.h,transitive
bazel-bsp,openjdk-17-jre-headless,read,/etc/java-17-openjdk/security/public_suffix_list.dat,top
bazel-bsp,libc6-dev,read,/usr/include/fcntl.h,transitive
bazel-bsp,libc6-dev,read,/usr/include/byteswap.h,transitive
bazel-bsp,libc6-dev,read,/usr/lib/x86_64-linux-gnu/libm.so,transitive
bazel-bsp,ca-certificates,openat,/usr/share/ca-certificates/mozilla/Starfield_Class_2_CA.crt,top
bazel-bsp,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/stdint-uintn.h,transitive
bazel-bsp,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/waitstatus.h,transitive
bazel-bsp,linux-libc-dev,read,/usr/include/asm-generic/posix_types.h,transitive
bazel-bsp,libgpg-error0,read,/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.29.0,transitive
bazel-bsp,git,openat,/usr/share/git-core/templates/info/exclude,top
bazel-bsp,libstdc++-10-dev,read,/usr/include/c++/10/ctime,transitive
bazel-bsp,libc6,read,/usr/lib/x86_64-linux-gnu/librt-2.31.so,transitive
bazel-bsp,ca-certificates,read,/usr/share/ca-certificates/mozilla/DigiCert_Global_Root_CA.crt,top
bazel-bsp,ca-certificates,read,/usr/share/ca-certificates/mozilla/Amazon_Root_CA_2.crt,top
bazel-bsp,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/types/sigset_t.h,transitive
bazel-bsp,libpcre2-8-0,read,/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.1,transitive
bazel-bsp,libc-bin,openat,/usr/lib/locale/C.UTF-8/LC_ADDRESS,top
bazel-bsp,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libj2gss.so,top
bazel-bsp,ca-certificates,openat,/usr/share/ca-certificates/mozilla/VeriSign_Universal_Root_Certification_Authority.crt,top
bazel-bsp,libstdc++-10-dev,openat,/usr/include/c++/10/bits/stl_function.h,transitive
bazel-bsp,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libextnet.so,top
